mgi_symbol,hgnc_symbol
Ccdc77,CCDC77
Apmap,APMAP
Gna14,GNA14
Ctns,CTNS
Mrpl43,MRPL43
Mapk1,MAPK1
Gdf5,GDF5
Tmem87b,TMEM87B
Six4,SIX4
Vps4b,VPS4B
Dcaf7,DCAF7
Setd2,SETD2
Vdac1,VDAC1
Abhd4,ABHD4
Zfp329,ZNF329
Celf1,CELF1
Chordc1,CHORDC1
Rnf5,RNF5
Adgrl1,ADGRL1
Rpl7l1,RPL7L1
Asna1,ASNA1
Plcxd1,PLCXD1
Tfap2a,TFAP2A
Adrb3,ADRB3
Lmtk2,LMTK2
Tfeb,TFEB
Klhl28,KLHL28
Spred1,SPRED1
Ptprm,PTPRM
C1ra,C1R
Olfr1356,OR7C2
Glb1,GLB1
Ammecr1l,AMMECR1L
Adra1a,ADRA1A
Trub1,TRUB1
Esam,ESAM
Kdm5a,KDM5A
Rell1,RELL1
Atp6v1c2,ATP6V1C2
Ager,AGER
Smyd1,SMYD1
Hectd1,HECTD1
Scara3,SCARA3
Sim1,SIM1
Atxn1l,ATXN1L
C1rb,C1R
Necap2,NECAP2
Hdac4,HDAC4
Prr14,PRR14
Rapgef5,RAPGEF5
Dnah7a,DNAH7
Fam213b,FAM213B
Bicral,BICRAL
Twnk,TWNK
Cst7,CST7
Tsc22d3,TSC22D3
Casp14,CASP14
Alkbh6,ALKBH6
Osr1,OSR1
Syndig1,SYNDIG1
Gm9772,ZNF660
Cacnb3,CACNB3
Gm45808,DHDH
Kcnh6,KCNH6
Rps27l,RPS27L
Cgnl1,CGNL1
Vsig2,VSIG2
Ado,ADO
Gpr83,GPR83
Trir,TRIR
Panx1,PANX1
0610040J01Rik,C4orf19
Acsm3,ACSM3
Tecpr1,TECPR1
Pdgfd,PDGFD
Krt19,KRT19
Zwint,ZWINT
Rnft1,RNFT1
Nkx6-3,NKX6-3
Gpr137c,GPR137C
Hoxa9,HOXA9
Rhot1,RHOT1
Iapp,IAPP
Mphosph10,MPHOSPH10
Bloc1s6,BLOC1S6
Gm5724,SLCO1A2
Des,DES
P2rx5,P2RX5-TAX1BP3
Plec,PLEC
Las1l,LAS1L
Ppm1f,PPM1F
Rln1,RLN1
Slco1a1,SLCO1A2
Slc35e2,SLC35E2B
Gsdmc,GSDMC
Best2,BEST2
Csn2,CSN2
Pde4d,PDE4D
Nrgn,NRGN
Pkd1l3,PKD1L3
Svip,SVIP
Ovol1,OVOL1
Dnah7c,DNAH7
Tmem55b,PIP4P1
Atf2,ATF2
Cebpd,CEBPD
Fam213a,FAM213A
Syne4,SYNE4
Zfp523,ZNF76
Nrbf2,NRBF2
Zfp821,ZNF821
Morf4l2,MORF4L2
Gm45736,WDR74
Clec1a,CLEC1A
Nlk,NLK
Tasp1,TASP1
Riok2,RIOK2
Sox18,SOX18
Dhdh,DHDH
Fn3k,FN3K
Psme2b,PSME2
Uts2r,UTS2R
Prr12,PRR12
Best1,BEST1
Celf4,CELF4
Fkbp9,FKBP9
Wdr74,WDR74
Chrnb3,CHRNB3
1700092M07Rik,TEX54
Fam161a,FAM161A
Defb36,DEFB123
